name,prefecture,city,website,url,rating,review_count,latitude,longitude,place_id,registered_date
ベトナム食堂,Kagoshima,鹿児島市,,,4.8,17,31.5848435,130.5552464,ChIJeb0c_S9hPjURo72peS4HfOw,2024-05-16
ベトナム食品,Kagoshima,鹿児島市,,,4.5,2,31.5901486,130.518638,ChIJT2qe5XNnPjURBXZ_jfWUanE,2024-05-16
ベトナム食料品店,Kagoshima,鹿児島市,,,4.7,3,31.5829891,130.5572447,ChIJIVwGh2dhPjURPdETRIjL-PA,2024-05-16
Kagonamufood Thực phẩm Việt Kagoshima,Kagoshima,鹿児島市,,,5.0,2,31.582795,130.5380912,ChIJAVLFe1BnPjURHE_WC4YEeds,2024-05-16
ARTON,Kagoshima,鹿児島市,,,4.3,49,31.5713079,130.5505351,ChIJfS8FdQ9nPjURfg8Znsm5rBE,2024-05-16
にくと、パン。騎射場本店 Niku to Pan【Meat&hamburger shop】,Kagoshima,鹿児島市,,,4.2,165,31.5685934,130.553709,ChIJGb1HhW1hPjURPk03WHEWNcg,2024-05-16
韓と米 アミュプラザ鹿児島店,Kagoshima,鹿児島市,,,3.6,60,31.5825404,130.5420391,ChIJfecW7xhnPjURJzpTowLXlaY,2024-05-16
レストランーフォーベトナム,Kagoshima,霧島市,,,4.1,161,31.76405369999999,130.7223514,ChIJsYnmNBv8PjURmVGv47uVJx8,2024-05-16
ZakimiTuanMart-Okinawa ベトナム食材専門店,Okinawa,N/A,,,4.6,21,26.328303,127.8226287,ChIJYTt5kQkN5TQRnIJ-57Ca1r0,2024-05-16
ベトナムちゃん北谷,Okinawa,北谷町,,,4.6,258,26.3206989,127.7496168,ChIJyf2U9kIT5TQRrz7n1CRGHjQ,2024-05-16
Vietnam Marley (ベトナムマーリー),Okinawa,宜野湾市,,,4.6,181,26.2910213,127.7752253,ChIJyYwPtNAT5TQR9gCOuJ91S9Q,2024-05-16
モクアソ,Okinawa,沖縄市,,,4.5,75,26.3159239,127.8137259,ChIJVVVVVZoN5TQRBcKg5HREB8Y,2024-05-16
ベトナムバイク屋台コムゴン,Okinawa,那覇市,,,4.4,87,26.2110533,127.6927163,ChIJu43-Mm5p5TQRAqDRk2PLI4s,2024-05-16
Tạp Hoá Việt - Naha (ベトー那覇ショップ) Vietnamese Cuisine Pho,Okinawa,N/A,,,4.5,75,26.2145415,127.6889916,ChIJIdcGytBp5TQR49bmzYQ6utE,2024-05-16
アジア屋台 ハベル食堂,Okinawa,那覇市,,,4.3,109,26.2168216,127.6811968,ChIJDWeuT61p5TQRyr_IjTP1aBg,2024-05-16
ベトナム料理,Okinawa,那覇市,,,5.0,1,26.2172298,127.6970848,ChIJIV_vlEhp5TQRORAW-DhhUes,2024-05-16
コンズバーガーベトナムサンドイッチ西崎店,Okinawa,糸満市,,,4.6,47,26.1406756,127.6659169,ChIJCxx_BSFn5TQR8IHwA-jGovM,2024-05-16
THE BROS sandwich stand,Okinawa,恩納村,,,4.5,361,26.4385279,127.7741428,ChIJM7wT9XgQ5TQRlQ46cwzAXV8,2024-05-16
ドスマノス,Okinawa,沖縄市,,,4.5,217,26.336367,127.8007405,ChIJ_dW0fw4S5TQRhsbqiaRAAg8,2024-05-16
Tạp Hoá Việt-Naha (Okinawa),Okinawa,那覇市,,,4.3,34,26.2145792,127.6889393,ChIJLdy8ruZp5TQRgMzubUNZgao,2024-05-16
TESIO,Okinawa,沖縄市,,,4.5,246,26.3360255,127.7992857,ChIJtx5e6A0S5TQRPS7SaOmyjxo,2024-05-16
オタマビスケット,Okinawa,うるま市,,,4.5,65,26.3579609,127.8313494,ChIJ15NwamsO5TQR_w2ik0eP7UY,2024-05-16
ノイカフェ,Okinawa,那覇市,,,4.2,139,26.214192,127.688582,ChIJ-bB2knBp5TQRYj2rJTBS1Y0,2024-05-16
cafe NY,Okinawa,読谷村,,,4.6,61,26.4152655,127.7365824,ChIJkWQ1wsQQ5TQRFVYl4uy9lsA,2024-05-16
ベトナム酒場 ROB PHOTONS ロブフォートンズ 盛岡店,Iwate,N/A,,,3.9,64,39.7039005,141.1477487,ChIJh2rvZgZ3hV8Rl5YKiN8sxho,2024-05-16
VUONG HOI MART,Iwate,N/A,,,4.3,15,39.2842491,141.1202141,ChIJRXekc3xFj18RitLGfAyoXyc,2024-05-16
株式会社回進堂,Iwate,N/A,,,4.1,245,39.162888,141.1800012,ChIJO--2xcVLj18RTnjyZOHcuqg,2024-05-16
旨味 太助,Miyagi,N/A,,,4.2,1982,38.2648531,140.8698696,ChIJJ8ESVSUoil8R6BhzzI5ceYs,2024-05-16
ジュピター tekuteせんだい店,Miyagi,仙台市,,,3.8,142,38.2601926,140.8820438,ChIJIQAgjxgoil8RYfM5ICPjcZ0,2024-05-16
オリジナルラーメンの店中国菜館まんみＴＨＥＭＡＬＬ仙台長町店,Miyagi,N/A,,,3.5,111,38.225836,140.8767894,ChIJX3L8eDMmil8R7ydTBppqxPc,2024-05-16
萬み高橋,Miyagi,N/A,,,4.1,33,38.2646126,140.8685449,ChIJr8sDpzooil8R6TQuoIDHCOU,2024-05-16
komachi こまち,Akita,N/A,,,4.0,2,39.7231483,140.1371539,ChIJbeIjUYjDj18Rt66tsbm_jBA,2024-05-16
稲庭本舗明治佐助商店,Akita,N/A,,,3.7,80,39.6117876,140.2206909,ChIJV0cnVGm_j18RUVo1DmrACMQ,2024-05-16
BÁNH MỲ-TRÀ SỮA-KARAOKE,Tochigi,常総市,,,4.8,28,36.0246098,139.9907079,ChIJ-wztPVGhGGAR-C3UNlrd8Gc,2024-05-16
ベトナム料理アオババ水戸店,Ibaraki,水戸市,,,4.2,163,36.3753381,140.4733891,ChIJI4OApRglImARaecUZ5hXNPw,2024-05-16
Sapa Restaurant ベトナム 料理,Tochigi,筑西市,,,4.2,118,36.3064338,139.9667413,ChIJIdZd5qRVH2ARTJyrcEha4kM,2024-05-16
123 Dzô (モッハイバーヨー),Ibaraki,水戸市,,,4.5,270,36.361846,140.4742947,ChIJc4qgDU4kImAR_2oyj3mxV1s,2024-05-16
KING PHO キングフォー,Ibaraki,つくば市,,,4.3,129,36.0914136,140.1113754,ChIJvXnfksQNImARx0N2D2wqb0Q,2024-05-16
タイ・ベトナム屋台 YUMMY TOMMY,Ibaraki,水戸市,,,4.5,70,36.3772433,140.4634583,ChIJcwgiv08kImARB0rc7Xg2gZE,2024-05-16
chợ việt ibaraki,Ibaraki,N/A,,,4.0,15,36.3054604,139.9780827,ChIJ-dMV5epVH2ARelNESW2xjpA,2024-05-16
VIETNAM SHOP,Ibaraki,結城市,,,3.8,52,36.2536177,139.8691833,ChIJ75rq9rtSH2ARvXOq8Re146A,2024-05-16
ベトナム料理 チャン チャン CHANG CHANG,Ibaraki,N/A,,,4.6,36,36.3670057,140.4703741,ChIJ0Y3MFL0lImAREsZAUv7mR6k,2024-05-16
Xin Chào Việt Nam Utsunomiya シンチャオ ベトナム,Tochigi,N/A,,,4.7,77,36.560168,139.885075,ChIJM7DBTB5nH2AR90aKmVwP4GA,2024-05-16
ベトナムダイニングジャディンGIA ĐÌNH 二号店,Tochigi,宇都宮市,,,4.6,85,36.5595459,139.8965288,ChIJg8VbAAVnH2ARaM8Xw-MLNes,2024-05-16
ベトナム料理&Cafe あおざい,Tochigi,N/A,,,4.6,69,36.6824266,139.7195215,ChIJGf5NWwRzH2AR2jOVeEE5VEM,2024-05-16
Xuân Shop Việt Nhật Utsunomiya Tochigi,Tochigi,N/A,,,4.3,13,36.5544391,139.8988693,ChIJT9K-zrhnH2AR2ydytUMhp0s,2024-05-16
バインミーシンチャオ 亀有店,Tochigi,葛飾区,,,5.0,4,35.7641065,139.8476035,ChIJFevRfQCPGGAR-iBdh5NYhRU,2024-05-16
マコトバインミー,Saitama,板橋区,,,4.8,46,35.7788659,139.630794,ChIJQU59i5XrGGARIyXZtiDVWZU,2024-05-16
バインミーバーバー下赤塚店,Saitama,板橋区,,,4.0,30,35.770765,139.6451277,ChIJJwaHzqntGGARoqEWDoubeSU,2024-05-16
Con Bò Cười,Saitama,さいたま市,,,4.3,43,35.949313,139.639768,ChIJrakOrSLHGGAR_jXnPjHCcHQ,2024-05-16
Hado Coffee - ベトナム料理,Saitama,越谷市,,,4.6,75,35.86509119999999,139.7911209,ChIJlcZQLk6XGGARbFoL1HOaTPo,2024-05-16
ベトナム料理タンマイ,Gunma,前橋市,,,4.1,143,36.4079501,139.0656828,ChIJdRIz_fLzHmARP2q-VZU0qBQ,2024-05-16
Hà Nội Quán,Gunma,N/A,,,4.4,73,36.3417573,139.0118221,ChIJE516D6eNHmARUxFYI65exJY,2024-05-16
ベトナム料理タンマイ古市町店,Gunma,前橋市,,,4.1,53,36.3802066,139.0543571,ChIJ31AAc-XzHmARFMVFZBorNe0,2024-05-16
KINH BAC QUAN,Gunma,高崎市,,,4.3,57,36.3258192,139.0086851,ChIJv6xsaTaNHmARmgJb9h84fUA,2024-05-16
